Number|Food Code|Food Name|Group|Type
1|HR005|Alabio duck egg, fresh|Eggs|Raw
2|DR037|Ambarella leaves, fresh|Vegetables|Raw
3|ER074|Ambon banana, fresh|Fruits|Raw
4|DR072|Ambon cassave leaves, fresh|Vegetables|Raw
5|DR054|Ambon matel leaves, fresh|Vegetables|Raw
6|DR050|American black nightshade leaves, fresh|Vegetables|Raw
7|AP026|Amparan tatak|Cereals|Processed/Products
8|DR073|Ampenan cassava leaves, fresh|Vegetables|Raw
9|GP041|Anchovy, dried, raw|Fish and Other Seafood|Processed/Products
10|GP042|Anchovy, dried, unsalted, raw|Fish and Other Seafood|Processed/Products
11|GR078|Anchovy, fresh|Fish and Other Seafood|Raw
12|GP043|Anchovy, ground, raw|Fish and Other Seafood|Processed/Products
13|GP040|Anchovy, ground, raw|Fish and Other Seafood|Processed/Products
14|DR003|Andaliman, fresh|Vegetables|Raw
15|DR058|Angled loofah leaves, fresh|Vegetables|Raw
16|DR083|Angled loofah, fresh|Vegetables|Raw
17|ER075|Angleng banana (ampyang banana), fresh|Fruits|Raw
18|DP023|Anyang, vegetables|Vegetables|Processed/Products
19|AP027|Apang, steamed, kue|Cereals|Processed/Products
20|AP028|Apem, kue|Cereals|Processed/Products
21|ER004|Apple, fresh|Fruits|Raw
22|DP024|Ares, vegetables|Vegetables|Processed/Products
23|BP064|Arrowroot, flour|Starchy Roots & Tubers|Processed/Products
24|BR001|Arrowroot, fresh|Starchy Roots & Tubers|Raw
25|DP025|Arwan sisir|Vegetables|Processed/Products
26|NR001|Asam arang coklat, fresh|Herbs and Spices|Raw
27|NR002|Asam arang merah, fresh|Herbs and Spices|Raw
28|NR003|Asam gelugur, dried|Herbs and Spices|Raw
29|NR004|Asam gelugur, fresh|Herbs and Spices|Raw
30|ER016|Asam paya, fresh|Fruits|Raw
31|NR006|Asam payak, fresh|Herbs and Spices|Raw
32|DR006|Ash gourd, fresh|Vegetables|Raw
33|GR011|Asian swamp eel, fresh|Fish and Other Seafood|Raw
34|GR044|Athlantic threadfin, fresh|Fish and Other Seafood|Raw
35|ER001|Avocado, fresh|Fruits|Raw
36|ER076|Ayam banana, fresh|Fruits|Raw
37|GP039|Baby anchovies, dried, raw|Fish and Other Seafood|Processed/Products
38|AR015|Baby corn, yellow, raw|Cereals|Raw
39|BP013|Bagea, coconut, savory|Starchy Roots & Tubers|Processed/Products
40|BP014|Bagea, coconut, sweet|Starchy Roots & Tubers|Processed/Products
