FOOD_CODE|Name|Group|Type
AP001|Rice|Cereals|Processed/Products
AP002|Rice, steamed|Cereals|Processed/Products
AP003|Rice, tapai|Cereals|Processed/Products
AP004|Rice, flour, raw|Cereals|Processed/Products
AP005|Red rice|Cereals|Processed/Products
AP006|Vermicelli, raw|Cereals|Processed/Products
AP007|Vermicelli, fried, instant|Cereals|Processed/Products
AP008|Corn vermicelli, raw|Cereals|Processed/Products
AP009|Corn rice|Cereals|Processed/Products
AP010|Corn, young, boiled|Cereals|Processed/Products
AP011|Corn, yellow, flour|Cereals|Processed/Products
AP012|Corn, yellow, shelled, boiled|Cereals|Processed/Products
AP013|Corn, white, flour|Cereals|Processed/Products
AP014|Glutinous rice, ketupat|Cereals|Processed/Products
AP015|Glutinous rice, black, cooked|Cereals|Processed/Products
AP016|Glutinous rice, black, tapai|Cereals|Processed/Products
AP017|Glutinous rice, white, cooked|Cereals|Processed/Products
AP018|Glutinous rice, white, tapai|Cereals|Processed/Products
AP019|Cornstarch|Cereals|Processed/Products
AP020|Macaroni, raw|Cereals|Processed/Products
AP021|Noodle, wet|Cereals|Processed/Products
AP022|Noodle, dried|Cereals|Processed/Products
AP023|Misua|Cereals|Processed/Products
AP024|Bread, white|Cereals|Processed/Products
AP025|Wheat, flour|Cereals|Processed/Products
AP026|Amparan tatak|Cereals|Processed/Products
AP027|Apang, steamed, kue|Cereals|Processed/Products
AP028|Apem, kue|Cereals|Processed/Products
AP029|Biscuits|Cereals|Processed/Products
AP030|Bakpia, kue|Cereals|Processed/Products
AP031|Bakwan|Cereals|Processed/Products
AP032|Bantal|Cereals|Processed/Products
AP033|Baruasa|Cereals|Processed/Products
AP034|Batar daan|Cereals|Processed/Products
AP035|Bika ambon|Cereals|Processed/Products
AP036|Bingka|Cereals|Processed/Products
AP037|Bobengka|Cereals|Processed/Products
AP038|Bolu peca|Cereals|Processed/Products
AP039|Brem|Cereals|Processed/Products
AP040|Tinotuan porridge (Manado)|Cereals|Processed/Products
AP041|Tapai cake|Cereals|Processed/Products
AP042|Cangkuning|Cereals|Processed/Products
AP043|Dodol bali|Cereals|Processed/Products
AP044|Dodol galamai|Cereals|Processed/Products
AP045|Dodol kedondong|Cereals|Processed/Products
AP046|Dodol manado|Cereals|Processed/Products
AP047|Rice emping|Cereals|Processed/Products
AP048|Gemblong|Cereals|Processed/Products
AP049|Gendar, fried|Cereals|Processed/Products
AP050|Rice crust, fried|Cereals|Processed/Products
AP051|Corn gerontol|Cereals|Processed/Products
AP052|Corn titi|Cereals|Processed/Products
AP053|Japilus|Cereals|Processed/Products
AP054|Kakicak|Cereals|Processed/Products
AP055|Kambose|Cereals|Processed/Products
AP056|Kapusa|Cereals|Processed/Products
AP057|Keddo bodong|Cereals|Processed/Products
AP058|Kelepon, kue|Cereals|Processed/Products
AP059|Kereput|Cereals|Processed/Products
AP060|Ketoprak|Cereals|Processed/Products
AP061|Ketupat kandangan|Cereals|Processed/Products
AP062|Koya|Cereals|Processed/Products
AP063|Koya mirasa|Cereals|Processed/Products
AP064|Koyabu|Cereals|Processed/Products
AP065|Kue ali|Cereals|Processed/Products
AP066|Kue bangen|Cereals|Processed/Products
AP067|Kue gelang|Cereals|Processed/Products
AP068|Ginger cookie|Cereals|Processed/Products
AP069|Coconut cookie|Cereals|Processed/Products
AP070|Kue koa|Cereals|Processed/Products
AP071|Kue ku temu|Cereals|Processed/Products
AP072|Kue lumpur|Cereals|Processed/Products
AP073|Kue pelita|Cereals|Processed/Products
AP074|Kue putu cangkir|Cereals|Processed/Products
AP075|Eclairs|Cereals|Processed/Products
AP076|Kue thipan|Cereals|Processed/Products
AP077|Laksa/Putu mayang|Cereals|Processed/Products
AP078|Lapis legit|Cereals|Processed/Products
AP079|Glutinous rice, lupis|Cereals|Processed/Products
AP080|Manan samin|Cereals|Processed/Products
AP081|Indian martabak|Cereals|Processed/Products
AP082|Egyptian martabak|Cereals|Processed/Products
AP083|Masekat|Cereals|Processed/Products
AP084|Mie aceh, boiled|Cereals|Processed/Products
