code|name|Group|Type|abu|air|besi|beta-karoten|energi|fosfor|kalium|kalsium|karbohidrat|karoten total|lemak|natrium|niasin|protein|retinol|riboflavin|seng|serat|tembaga|thiamin|vitamin c
AP001|Nasi|Cereals|Processed/Products|0.2 g|56.7 g|0.4 mg|0 mcg|180|27 mg|38.0 mg|25 mg|39.8 g|0 mcg|0.3 g|1 mg|2.6 mg|3.0 g|0 mcg|0.10 mg|0.6 mg|0.2 g|0.10 mg|0.05 mg|0 mg
AP002|Nasi kukus|Cereals|Processed/Products|0.2 g|71.0 g|0.4 mg|0 mcg|120|7 mg|23.9 mg|3 mg|26.0 g|0 mcg|0.4 g|0 mg|1.4 mg|2.4 g|0 mcg|0.00 mg|0.4 mg|0.5 g|0.10 mg|0.10 mg|0 mg
AP003|Tapai beras|Cereals|Processed/Products|0.1 g|75.5 g|0.0 mg|0 mcg|99|19 mg|2.0 mg|4 mg|22.4 g|0 mcg|0.3 g|26 mg|0.0 mg|1.7 g|0 mcg|0.00 mg|0.5 mg|0.0 g|0.10 mg|0.00 mg|0 mg
AP004|Tepung beras mentah|Cereals|Processed/Products|0.5 g|12.0 g|0.8 mg|0 mcg|353|140 mg|241.0 mg|5 mg|80.0 g|0 mcg|0.5 g|5 mg|1.2 mg|7.0 g|0 mcg|0.10 mg|0.8 mg|2.4 g|0.10 mg|0.12 mg|0 mg
AP005|Beras merah|Cereals|Processed/Products|0.3 g|64.0 g|0.8 mg|0 mcg|149|63 mg|91.4 mg|6 mg|32.5 g|0 mcg|0.4 g|5 mg|1.6 mg|2.8 g|0 mcg|0.00 mg|0.9 mg|0.3 g|0.20 mg|0.06 mg|0 mg
AP006|Bihun mentah|Cereals|Processed/Products|0.2 g|12.9 g|1.8 mg|0 mcg|348|35 mg|5.0 mg|6 mg|82.1 g|0 mcg|0.1 g|12 mg|0.2 mg|4.7 g|0 mcg|0.00 mg|0.7 mg|1.2 g|0.08 mg|0.00 mg|0 mg
AP007|Bihun goreng instan|Cereals|Processed/Products|0.7 g|9.0 g|2.9 mg|0 mcg|381|151 mg|0 mg|266 mg|80.3 g|400 mcg|3.9 g|928 mg|0 mg|6.1 g|58 mcg|0 mg|0 mg|0 g|0 mg|0.37 mg|0 mg
AP008|Bihun jagung mentah|Cereals|Processed/Products|0.5 g|11.3 g|0.6 mg|0 mcg|354|111 mg|1.4 mg|13 mg|87.4 g|0 mcg|0.3 g|49 mg|0.3 mg|0.5 g|0 mcg|0.02 mg|0.0 mg|3.0 g|0.40 mg|0.02 mg|0 mg
AP009|Nasi jagung|Cereals|Processed/Products|0.3 g|11.0 g|0.6 mg|0 mcg|357|43 mg|30.4 mg|5 mg|79.5 g|0 mcg|0.5 g|2 mg|0.1 mg|8.8 g|0 mcg|0.02 mg|0.3 mg|6.2 g|0.10 mg|0.30 mg|0 mg
AP010|Jagung muda rebus|Cereals|Processed/Products|0.8 g|53.2 g|0.8 mg|145 mcg|142|105 mg|24.3 mg|5 mg|30.3 g|225 mcg|0.7 g|5 mg|0.7 mg|5.0 g|0 mcg|0.00 mg|0.9 mg|0.8 g|0.20 mg|0.15 mg|0 mg
AP011|Tepung jagung kuning|Cereals|Processed/Products|1.2 g|12.0 g|2.4 mg|0 mcg|355|256 mg|24.4 mg|10 mg|73.7 g|510 mcg|3.9 g|11 mg|0.3 mg|9.2 g|0 mcg|0.02 mg|1.7 mg|7.2 g|0.23 mg|0.38 mg|0 mg
AP012|Jagung pipil kuning rebus|Cereals|Processed/Products|0.6 g|63.7 g|0.5 mg|818 mcg|154|171 mg|56.4 mg|7 mg|28.4 g|234 mcg|3.5 g|5 mg|1.7 mg|3.8 g|0 mcg|0.10 mg|4.4 mg|0.7 g|0.10 mg|0.08 mg|0 mg
AP013|Tepung jagung putih|Cereals|Processed/Products|1.2 g|12.0 g|2.4 mg|0 mcg|355|256 mg|24.4 mg|10 mg|73.7 g|0 mcg|3.9 g|11 mg|0.3 mg|9.2 g|0 mcg|0.02 mg|1.7 mg|7.2 g|0.23 mg|0.38 mg|0 mg
AP014|Ketupat ketan|Cereals|Processed/Products|0.9 g|52.0 g|1.0 mg|0 mcg|212|46 mg|0 mg|8 mg|38.6 g|0 mcg|4.6 g|0 mg|0.2 mg|4.0 g|0 mcg|0 mg|0 mg|0.2 g|0 mg|0.07 mg|0 mg
AP015|Ketan hitam masak|Cereals|Processed/Products|0.6 g|56.9 g|1.7 mg|0 mcg|181|144 mg|18.4 mg|9 mg|37.3 g|0 mcg|1.2 g|9 mg|0.5 mg|4.0 g|0 mcg|0.00 mg|0.7 mg|0.3 g|0.10 mg|0.06 mg|0 mg
AP016|Tapai ketan hitam|Cereals|Processed/Products|0.6 g|50.2 g|1.6 mg|0 mcg|166|106 mg|12.0 mg|8 mg|34.4 g|0 mcg|1.0 g|5 mg|0 mg|3.8 g|0 mcg|0 mg|0 mg|0.3 g|0 mg|0.02 mg|0 mg
