FOOD_CODE|Nutrient/Ingridient|Value (per 100gr)|Name|Group|Type
AP001|Air (Water)|56.7 g|Rice|Cereals|Processed/Products
AP001|Energi (Energy)|180 Kal|Rice|Cereals|Processed/Products
AP001|Protein (Protein)|3.0 g|Rice|Cereals|Processed/Products
AP001|Lemak (Fat)|0.3 g|Rice|Cereals|Processed/Products
AP001|Karbohidrat (CHO)|39.8 g|Rice|Cereals|Processed/Products
AP001|Serat (Fibre)|0.2 g|Rice|Cereals|Processed/Products
AP001|Abu (ASH)|0.2 g|Rice|Cereals|Processed/Products
AP001|Kalsium (Ca)|25 mg|Rice|Cereals|Processed/Products
AP001|Fosfor (P)|27 mg|Rice|Cereals|Processed/Products
AP001|Besi (Fe)|0.4 mg|Rice|Cereals|Processed/Products
AP001|Natrium (Na)|1 mg|Rice|Cereals|Processed/Products
AP001|Kalium (K)|38.0 mg|Rice|Cereals|Processed/Products
AP001|Tembaga (Cu)|0.10 mg|Rice|Cereals|Processed/Products
AP001|Seng (Zn)|0.6 mg|Rice|Cereals|Processed/Products
AP001|Retinol (Vit. A)|0 mcg|Rice|Cereals|Processed/Products
AP001|Beta-Karoten (Carotenes)|0 mcg|Rice|Cereals|Processed/Products
AP001|Thiamin (Vit. B1)|0.05 mg|Rice|Cereals|Processed/Products
AP001|Riboflavin (Vit. B2)|0.10 mg|Rice|Cereals|Processed/Products
AP001|Niasin (Niacin)|2.6 mg|Rice|Cereals|Processed/Products
AP001|Vitamin C (Vit. C)|0 mg|Rice|Cereals|Processed/Products
AP002|Air (Water)|71.0 g|Rice, steamed|Cereals|Processed/Products
AP002|Energi (Energy)|120 Kal|Rice, steamed|Cereals|Processed/Products
AP002|Protein (Protein)|2.4 g|Rice, steamed|Cereals|Processed/Products
AP002|Lemak (Fat)|0.4 g|Rice, steamed|Cereals|Processed/Products
AP002|Karbohidrat (CHO)|26.0 g|Rice, steamed|Cereals|Processed/Products
AP002|Serat (Fibre)|0.5 g|Rice, steamed|Cereals|Processed/Products
AP002|Abu (ASH)|0.2 g|Rice, steamed|Cereals|Processed/Products
AP002|Kalsium (Ca)|3 mg|Rice, steamed|Cereals|Processed/Products
AP002|Fosfor (P)|7 mg|Rice, steamed|Cereals|Processed/Products
AP002|Besi (Fe)|0.4 mg|Rice, steamed|Cereals|Processed/Products
AP002|Natrium (Na)|0 mg|Rice, steamed|Cereals|Processed/Products
AP002|Kalium (K)|23.9 mg|Rice, steamed|Cereals|Processed/Products
AP002|Tembaga (Cu)|0.10 mg|Rice, steamed|Cereals|Processed/Products
AP002|Seng (Zn)|0.4 mg|Rice, steamed|Cereals|Processed/Products
AP002|Beta-Karoten (Carotenes)|0 mcg|Rice, steamed|Cereals|Processed/Products
AP002|Thiamin (Vit. B1)|0.10 mg|Rice, steamed|Cereals|Processed/Products
AP002|Riboflavin (Vit. B2)|0.00 mg|Rice, steamed|Cereals|Processed/Products
AP002|Niasin (Niacin)|1.4 mg|Rice, steamed|Cereals|Processed/Products
AP002|Vitamin C (Vit. C)|0 mg|Rice, steamed|Cereals|Processed/Products
AP003|Air (Water)|75.5 g|Rice, tapai|Cereals|Processed/Products
AP003|Energi (Energy)|99 Kal|Rice, tapai|Cereals|Processed/Products
AP003|Protein (Protein)|1.7 g|Rice, tapai|Cereals|Processed/Products
AP003|Lemak (Fat)|0.3 g|Rice, tapai|Cereals|Processed/Products
AP003|Karbohidrat (CHO)|22.4 g|Rice, tapai|Cereals|Processed/Products
AP003|Serat (Fibre)|0.0 g|Rice, tapai|Cereals|Processed/Products
AP003|Abu (ASH)|0.1 g|Rice, tapai|Cereals|Processed/Products
AP003|Kalsium (Ca)|4 mg|Rice, tapai|Cereals|Processed/Products
AP003|Fosfor (P)|19 mg|Rice, tapai|Cereals|Processed/Products
AP003|Besi (Fe)|0.0 mg|Rice, tapai|Cereals|Processed/Products
AP003|Natrium (Na)|26 mg|Rice, tapai|Cereals|Processed/Products
AP003|Kalium (K)|2.0 mg|Rice, tapai|Cereals|Processed/Products
AP003|Tembaga (Cu)|0.10 mg|Rice, tapai|Cereals|Processed/Products
AP003|Seng (Zn)|0.5 mg|Rice, tapai|Cereals|Processed/Products
AP003|Retinol (Vit. A)|0 mcg|Rice, tapai|Cereals|Processed/Products
AP003|Beta-Karoten (Carotenes)|0 mcg|Rice, tapai|Cereals|Processed/Products
AP003|Karoten Total (Re)|0 mcg|Rice, tapai|Cereals|Processed/Products
AP003|Thiamin (Vit. B1)|0.00 mg|Rice, tapai|Cereals|Processed/Products
AP003|Riboflavin (Vit. B2)|0.00 mg|Rice, tapai|Cereals|Processed/Products
AP003|Niasin (Niacin)|0.0 mg|Rice, tapai|Cereals|Processed/Products
AP003|Vitamin C (Vit. C)|0 mg|Rice, tapai|Cereals|Processed/Products
AP004|Air (Water)|12.0 g|Rice, flour, raw|Cereals|Processed/Products
AP004|Energi (Energy)|353 Kal|Rice, flour, raw|Cereals|Processed/Products
AP004|Protein (Protein)|7.0 g|Rice, flour, raw|Cereals|Processed/Products
AP004|Lemak (Fat)|0.5 g|Rice, flour, raw|Cereals|Processed/Products
AP004|Karbohidrat (CHO)|80.0 g|Rice, flour, raw|Cereals|Processed/Products
AP004|Serat (Fibre)|2.4 g|Rice, flour, raw|Cereals|Processed/Products
AP004|Abu (ASH)|0.5 g|Rice, flour, raw|Cereals|Processed/Products
AP004|Kalsium (Ca)|5 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Fosfor (P)|140 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Besi (Fe)|0.8 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Natrium (Na)|5 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Kalium (K)|241.0 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Tembaga (Cu)|0.10 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Seng (Zn)|0.8 mg|Rice, flour, raw|Cereals|Processed/Products
AP004|Retinol (Vit. A)|0 mcg|Rice, flour, raw|Cereals|Processed/Products
