code|name|Group|Type|abu|air|besi|beta-karoten|energi|fosfor|kalium|kalsium|karbohidrat|karoten total|lemak|natrium|niasin|protein|retinol|riboflavin|seng|serat|tembaga|thiamin|vitamin c
AP001|Rice|Cereals|Processed/Products|0.2 g|56.7 g|0.4 mg|0 mcg|180|27 mg|38.0 mg|25 mg|39.8 g|0 mcg|0.3 g|1 mg|2.6 mg|3.0 g|0 mcg|0.10 mg|0.6 mg|0.2 g|0.10 mg|0.05 mg|0 mg
AP002|Rice steamed|Cereals|Processed/Products|0.2 g|71.0 g|0.4 mg|0 mcg|120|7 mg|23.9 mg|3 mg|26.0 g|0 mcg|0.4 g|0 mg|1.4 mg|2.4 g|0 mcg|0.00 mg|0.4 mg|0.5 g|0.10 mg|0.10 mg|0 mg
AP003|Rice tapai|Cereals|Processed/Products|0.1 g|75.5 g|0.0 mg|0 mcg|99|19 mg|2.0 mg|4 mg|22.4 g|0 mcg|0.3 g|26 mg|0.0 mg|1.7 g|0 mcg|0.00 mg|0.5 mg|0.0 g|0.10 mg|0.00 mg|0 mg
AP004|Rice flour raw|Cereals|Processed/Products|0.5 g|12.0 g|0.8 mg|0 mcg|353|140 mg|241.0 mg|5 mg|80.0 g|0 mcg|0.5 g|5 mg|1.2 mg|7.0 g|0 mcg|0.10 mg|0.8 mg|2.4 g|0.10 mg|0.12 mg|0 mg
AP005|Red rice|Cereals|Processed/Products|0.3 g|64.0 g|0.8 mg|0 mcg|149|63 mg|91.4 mg|6 mg|32.5 g|0 mcg|0.4 g|5 mg|1.6 mg|2.8 g|0 mcg|0.00 mg|0.9 mg|0.3 g|0.20 mg|0.06 mg|0 mg
AP006|Vermicelli raw|Cereals|Processed/Products|0.2 g|12.9 g|1.8 mg|0 mcg|348|35 mg|5.0 mg|6 mg|82.1 g|0 mcg|0.1 g|12 mg|0.2 mg|4.7 g|0 mcg|0.00 mg|0.7 mg|1.2 g|0.08 mg|0.00 mg|0 mg
AP007|Vermicelli fried instant|Cereals|Processed/Products|0.7 g|9.0 g|2.9 mg|0 mcg|381|151 mg|0 mg|266 mg|80.3 g|400 mcg|3.9 g|928 mg|0 mg|6.1 g|58 mcg|0 mg|0 mg|0 g|0 mg|0.37 mg|0 mg
AP008|Corn vermicelli raw|Cereals|Processed/Products|0.5 g|11.3 g|0.6 mg|0 mcg|354|111 mg|1.4 mg|13 mg|87.4 g|0 mcg|0.3 g|49 mg|0.3 mg|0.5 g|0 mcg|0.02 mg|0.0 mg|3.0 g|0.40 mg|0.02 mg|0 mg
AP009|Corn rice|Cereals|Processed/Products|0.3 g|11.0 g|0.6 mg|0 mcg|357|43 mg|30.4 mg|5 mg|79.5 g|0 mcg|0.5 g|2 mg|0.1 mg|8.8 g|0 mcg|0.02 mg|0.3 mg|6.2 g|0.10 mg|0.30 mg|0 mg
AP010|Corn young boiled|Cereals|Processed/Products|0.8 g|53.2 g|0.8 mg|145 mcg|142|105 mg|24.3 mg|5 mg|30.3 g|225 mcg|0.7 g|5 mg|0.7 mg|5.0 g|0 mcg|0.00 mg|0.9 mg|0.8 g|0.20 mg|0.15 mg|0 mg
