code|name|text
AP001|Rice|Rice contains nutrients such as 0.2 g zat abu, 56.7 g zat air, 0.4 mg zat besi, 0 mcg zat beta-karoten, 180 zat energi, 27 mg zat fosfor, 38.0 mg zat kalium, 25 mg zat kalsium, 39.8 g zat karbohidrat, 0 mcg zat karoten total, 0.3 g zat lemak, 1 mg zat natrium, 2.6 mg zat niasin, 3.0 g zat protein, 0 mcg zat retinol, 0.10 mg zat riboflavin, 0.6 mg zat seng, 0.2 g zat serat, 0.10 mg zat tembaga, 0.05 mg zat thiamin dan 0 mg zat vitamin c. 
AP002|Rice steamed|Rice steamed contains nutrients such as 0.2 g zat abu, 71.0 g zat air, 0.4 mg zat besi, 0 mcg zat beta-karoten, 120 zat energi, 7 mg zat fosfor, 23.9 mg zat kalium, 3 mg zat kalsium, 26.0 g zat karbohidrat, 0 mcg zat karoten total, 0.4 g zat lemak, 0 mg zat natrium, 1.4 mg zat niasin, 2.4 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0.4 mg zat seng, 0.5 g zat serat, 0.10 mg zat tembaga, 0.10 mg zat thiamin dan 0 mg zat vitamin c. 
AP003|Rice tapai|Rice tapai contains nutrients such as 0.1 g zat abu, 75.5 g zat air, 0.0 mg zat besi, 0 mcg zat beta-karoten, 99 zat energi, 19 mg zat fosfor, 2.0 mg zat kalium, 4 mg zat kalsium, 22.4 g zat karbohidrat, 0 mcg zat karoten total, 0.3 g zat lemak, 26 mg zat natrium, 0.0 mg zat niasin, 1.7 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0.5 mg zat seng, 0.0 g zat serat, 0.10 mg zat tembaga, 0.00 mg zat thiamin dan 0 mg zat vitamin c. 
AP004|Rice flour raw|Rice flour raw contains nutrients such as 0.5 g zat abu, 12.0 g zat air, 0.8 mg zat besi, 0 mcg zat beta-karoten, 353 zat energi, 140 mg zat fosfor, 241.0 mg zat kalium, 5 mg zat kalsium, 80.0 g zat karbohidrat, 0 mcg zat karoten total, 0.5 g zat lemak, 5 mg zat natrium, 1.2 mg zat niasin, 7.0 g zat protein, 0 mcg zat retinol, 0.10 mg zat riboflavin, 0.8 mg zat seng, 2.4 g zat serat, 0.10 mg zat tembaga, 0.12 mg zat thiamin dan 0 mg zat vitamin c. 
AP005|Red rice|Red rice contains nutrients such as 0.3 g zat abu, 64.0 g zat air, 0.8 mg zat besi, 0 mcg zat beta-karoten, 149 zat energi, 63 mg zat fosfor, 91.4 mg zat kalium, 6 mg zat kalsium, 32.5 g zat karbohidrat, 0 mcg zat karoten total, 0.4 g zat lemak, 5 mg zat natrium, 1.6 mg zat niasin, 2.8 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0.9 mg zat seng, 0.3 g zat serat, 0.20 mg zat tembaga, 0.06 mg zat thiamin dan 0 mg zat vitamin c. 
AP006|Vermicelli raw|Vermicelli raw contains nutrients such as 0.2 g zat abu, 12.9 g zat air, 1.8 mg zat besi, 0 mcg zat beta-karoten, 348 zat energi, 35 mg zat fosfor, 5.0 mg zat kalium, 6 mg zat kalsium, 82.1 g zat karbohidrat, 0 mcg zat karoten total, 0.1 g zat lemak, 12 mg zat natrium, 0.2 mg zat niasin, 4.7 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0.7 mg zat seng, 1.2 g zat serat, 0.08 mg zat tembaga, 0.00 mg zat thiamin dan 0 mg zat vitamin c. 
AP007|Vermicelli fried instant|Vermicelli fried instant contains nutrients such as 0.7 g zat abu, 9.0 g zat air, 2.9 mg zat besi, 0 mcg zat beta-karoten, 381 zat energi, 151 mg zat fosfor, 0 mg zat kalium, 266 mg zat kalsium, 80.3 g zat karbohidrat, 400 mcg zat karoten total, 3.9 g zat lemak, 928 mg zat natrium, 0 mg zat niasin, 6.1 g zat protein, 58 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0.37 mg zat thiamin dan 0 mg zat vitamin c. 
AP008|Corn vermicelli raw|Corn vermicelli raw contains nutrients such as 0.5 g zat abu, 11.3 g zat air, 0.6 mg zat besi, 0 mcg zat beta-karoten, 354 zat energi, 111 mg zat fosfor, 1.4 mg zat kalium, 13 mg zat kalsium, 87.4 g zat karbohidrat, 0 mcg zat karoten total, 0.3 g zat lemak, 49 mg zat natrium, 0.3 mg zat niasin, 0.5 g zat protein, 0 mcg zat retinol, 0.02 mg zat riboflavin, 0.0 mg zat seng, 3.0 g zat serat, 0.40 mg zat tembaga, 0.02 mg zat thiamin dan 0 mg zat vitamin c. 
AP009|Corn rice|Corn rice contains nutrients such as 0.3 g zat abu, 11.0 g zat air, 0.6 mg zat besi, 0 mcg zat beta-karoten, 357 zat energi, 43 mg zat fosfor, 30.4 mg zat kalium, 5 mg zat kalsium, 79.5 g zat karbohidrat, 0 mcg zat karoten total, 0.5 g zat lemak, 2 mg zat natrium, 0.1 mg zat niasin, 8.8 g zat protein, 0 mcg zat retinol, 0.02 mg zat riboflavin, 0.3 mg zat seng, 6.2 g zat serat, 0.10 mg zat tembaga, 0.30 mg zat thiamin dan 0 mg zat vitamin c. 
AP010|Corn young boiled|Corn young boiled contains nutrients such as 0.8 g zat abu, 53.2 g zat air, 0.8 mg zat besi, 145 mcg zat beta-karoten, 142 zat energi, 105 mg zat fosfor, 24.3 mg zat kalium, 5 mg zat kalsium, 30.3 g zat karbohidrat, 225 mcg zat karoten total, 0.7 g zat lemak, 5 mg zat natrium, 0.7 mg zat niasin, 5.0 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0.9 mg zat seng, 0.8 g zat serat, 0.20 mg zat tembaga, 0.15 mg zat thiamin dan 0 mg zat vitamin c. 
